frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
115,3.9039,2026:04:27 12:27:38.904Z,32.1024827906646,35.2096902081659,49.8,-7.4,-3.3,-32.0,-45.3,-24.0
116,3.93726666666667,2026:04:27 12:27:38.937Z,32.1024826642355,35.209690280477,49.8,-7.4,-3.4,-32.3,-45.3,-24.0
117,3.97063333333333,2026:04:27 12:27:38.971Z,32.1024826642355,35.209690280477,49.8,-7.4,-3.4,-32.3,-45.3,-24.0
118,4.004,2026:04:27 12:27:39.004Z,32.1024826642355,35.209690280477,49.8,-7.4,-3.4,-32.3,-45.3,-24.0
119,4.03736666666667,2026:04:27 12:27:39.037Z,32.1024825624137,35.2096904394847,49.8,-7.4,-3.6,-32.2,-45.3,-24.0
120,4.07073333333333,2026:04:27 12:27:39.071Z,32.1024825624137,35.2096904394847,49.8,-7.4,-3.6,-32.2,-45.3,-24.0
121,4.1041,2026:04:27 12:27:39.104Z,32.1024825624137,35.2096904394847,49.8,-7.4,-3.6,-32.2,-45.3,-24.0
122,4.13746666666667,2026:04:27 12:27:39.137Z,32.1024824397374,35.2096904951019,49.8,-7.6,-3.7,-32.2,-45.3,-24.0
123,4.17083333333333,2026:04:27 12:27:39.171Z,32.1024824397374,35.2096904951019,49.8,-7.6,-3.7,-32.2,-45.3,-24.0
124,4.2042,2026:04:27 12:27:39.204Z,32.1024824397374,35.2096904951019,49.8,-7.6,-3.7,-32.2,-45.3,-24.0
125,4.23756666666667,2026:04:27 12:27:39.238Z,32.1024823906257,35.2096903368452,49.8,-8.7,-3.3,-32.2,-45.3,-24.0
126,4.27093333333333,2026:04:27 12:27:39.271Z,32.1024823906257,35.2096903368452,49.8,-8.7,-3.3,-32.2,-45.3,-24.0
127,4.3043,2026:04:27 12:27:39.304Z,32.1024823906257,35.2096903368452,49.8,-8.7,-3.3,-32.2,-45.3,-24.0
128,4.33766666666667,2026:04:27 12:27:39.338Z,32.1024822885297,35.2096903433387,49.8,-16.1,-2.8,-32.3,-45.3,-24.0
129,4.37103333333333,2026:04:27 12:27:39.371Z,32.1024822885297,35.2096903433387,49.8,-16.1,-2.8,-32.3,-45.3,-24.0
130,4.4044,2026:04:27 12:27:39.404Z,32.1024822885297,35.2096903433387,49.8,-16.1,-2.8,-32.3,-45.3,-24.0
131,4.43776666666667,2026:04:27 12:27:39.438Z,32.1024823174552,35.2096900728236,49.8,-23.5,-2.3,-32.3,-45.3,-24.0
132,4.47113333333333,2026:04:27 12:27:39.471Z,32.1024823174552,35.2096900728236,49.8,-23.5,-2.3,-32.3,-45.3,-24.0
133,4.5045,2026:04:27 12:27:39.504Z,32.1024823174552,35.2096900728236,49.8,-23.5,-2.3,-32.3,-45.3,-24.0
134,4.53786666666667,2026:04:27 12:27:39.538Z,32.1024824936128,35.2096898583682,49.8,-27.2,-1.8,-32.3,-45.3,-24.0
135,4.57123333333333,2026:04:27 12:27:39.571Z,32.1024824936128,35.2096898583682,49.8,-27.2,-1.8,-32.3,-45.3,-24.0
